locations_name,sum,count
"Djibasso, Kossi, Boucle du Mouhoun, Burkina Faso",32643,8
"Gomboro, Sourou, Boucle du Mouhoun, Burkina Faso; Zogoré, Yatenga, North, Burkina Faso",7839,3
